timestamp,sample_index,temperature,humidity
13:54:21,805,21.96,44.6
13:54:24,806,21.96,44.59
13:54:27,807,21.96,44.59
13:54:30,808,21.94,44.59
13:54:33,809,21.92,44.55
13:54:36,810,21.94,44.54
13:54:39,811,21.92,44.57
13:54:42,812,21.93,44.62
13:54:45,813,21.93,44.65
13:54:48,814,21.9,44.69
13:54:51,815,21.92,44.69
13:54:54,816,21.9,44.74
13:54:58,817,21.92,44.75
13:55:00,818,21.88,44.82
13:55:03,819,21.9,44.83
13:55:06,820,21.89,44.83
13:55:10,821,21.9,44.86
13:55:13,822,21.9,44.85
13:55:16,823,21.9,44.89
13:55:19,824,21.9,44.94
13:55:22,825,21.9,44.95
13:55:25,826,21.92,44.78
13:55:28,827,21.92,44.66
13:55:31,828,21.88,44.56
13:55:34,829,21.89,44.46
13:55:37,830,21.89,44.36
13:55:40,831,21.9,44.27
13:55:43,832,21.89,44.29
13:55:46,833,21.92,44.36
13:55:49,834,21.89,44.47
13:55:52,835,21.9,44.43
13:55:55,836,21.89,44.46
13:55:58,837,21.9,44.43
13:56:01,838,21.9,44.45
13:56:05,839,21.89,44.38
13:56:08,840,21.9,44.34
13:56:11,841,21.92,44.29
13:56:14,842,21.9,44.27
13:56:17,843,21.9,44.23
13:56:20,844,21.89,44.17
13:56:23,845,21.88,44.16
13:56:26,846,21.89,44.18
13:56:29,847,21.88,44.17
13:56:32,848,21.9,44.21
13:56:35,849,21.89,44.19
13:56:38,850,21.9,44.45
13:56:41,851,21.89,44.57
13:56:44,852,21.89,44.74
13:56:47,853,21.89,44.77
13:56:50,854,21.89,44.82
13:56:54,855,21.9,45.2
13:56:56,856,21.89,45.41
13:56:59,857,21.89,45.51
13:57:02,858,21.88,45.65
13:57:05,859,21.9,45.72
13:57:09,860,21.9,45.62
13:57:11,861,21.9,45.69
13:57:14,862,21.89,45.82
13:57:18,863,21.92,45.89
13:57:20,864,21.92,46.0
13:57:23,865,21.89,45.99
13:57:27,866,21.89,46.09
13:57:30,867,21.92,46.24
13:57:33,868,21.9,46.21
13:57:36,869,21.92,46.25
13:57:39,870,21.9,46.21
13:57:42,871,21.9,46.28
13:57:45,872,21.9,46.31
13:57:48,873,21.9,46.33
13:57:51,874,21.9,46.41
13:57:54,875,21.92,46.44
13:57:57,876,21.92,46.2
13:58:00,877,21.93,46.04
13:58:03,878,21.89,46.06
13:58:06,879,21.92,46.06
13:58:10,880,21.92,45.95
13:58:12,881,21.93,45.84
13:58:15,882,21.92,45.79
13:58:18,883,21.93,45.78
13:58:22,884,21.92,45.74
13:58:25,885,21.93,45.73
13:58:28,886,21.93,45.71
13:58:31,887,21.93,45.78
13:58:34,888,21.94,45.82
13:58:37,889,21.94,45.93
13:58:40,890,21.93,45.97
13:58:43,891,21.93,46.0
13:58:46,892,21.93,45.97
13:58:49,893,21.94,45.92
13:58:52,894,21.93,45.97
13:58:55,895,21.93,46.01
13:58:58,896,21.94,46.07
13:59:01,897,21.96,46.17
13:59:04,898,21.97,46.34
13:59:07,899,21.94,46.46
13:59:11,900,21.94,46.53
13:59:13,901,21.94,46.56
13:59:16,902,21.94,46.49
13:59:19,903,21.94,46.94
13:59:23,904,21.96,47.07
13:59:26,905,21.96,47.04
13:59:28,906,21.94,47.04
13:59:32,907,21.96,46.92
13:59:34,908,21.96,46.97
13:59:38,909,21.97,46.9
13:59:41,910,21.97,46.84
13:59:44,911,21.94,46.83
13:59:47,912,21.96,46.73
13:59:50,913,21.96,46.66
13:59:53,914,21.96,46.58
13:59:56,915,21.94,46.46
13:59:59,916,21.93,46.42
14:00:02,917,21.96,46.38
14:00:05,918,21.93,46.29
14:00:08,919,21.94,46.26
14:00:11,920,21.96,46.15
14:00:14,921,21.94,46.08
14:00:18,922,21.93,45.88
14:00:20,923,21.92,45.69
14:00:23,924,21.93,45.49
14:00:26,925,21.93,45.43
14:00:30,926,21.93,45.39
14:00:32,927,21.93,45.37
14:00:35,928,21.93,45.31
14:00:39,929,21.93,45.27
14:00:42,930,21.92,45.26
14:00:45,931,21.93,45.27
14:00:48,932,21.92,45.25
14:00:51,933,21.92,45.22
14:00:54,934,21.9,45.21
14:00:57,935,21.94,45.16
14:01:00,936,21.92,45.08
14:01:03,937,21.92,45.07
14:01:06,938,21.92,45.06
14:01:09,939,21.9,45.01
14:01:12,940,21.89,44.85
14:01:15,941,21.9,44.79
14:01:18,942,21.9,44.57
14:01:21,943,21.9,44.0
14:01:24,944,21.88,43.82
14:01:27,945,21.86,43.86
14:01:30,946,21.9,43.83
14:01:33,947,21.92,43.76
14:01:36,948,21.88,43.69
14:01:40,949,21.88,43.65
14:01:42,950,21.88,43.42
14:01:46,951,21.86,43.02
14:01:49,952,21.86,42.73
14:01:52,953,21.83,42.73
14:01:54,954,21.85,42.81
14:01:58,955,21.82,42.8
14:02:02,956,21.83,42.77
14:02:04,957,21.85,42.78
14:02:07,958,21.8,42.77
14:02:10,959,21.83,42.57
14:02:13,960,21.82,42.63
14:02:16,961,21.8,42.71
14:02:19,962,21.82,42.78
14:02:22,963,21.8,42.78
14:02:25,964,21.79,42.5
14:02:28,965,21.79,42.36
14:02:31,966,21.76,42.44
14:02:35,967,21.76,42.49
14:02:37,968,21.75,42.5
14:02:40,969,21.76,42.5
14:02:43,970,21.76,42.51
14:02:46,971,21.76,42.54
14:02:50,972,21.76,42.58
14:02:52,973,21.75,42.66
14:02:56,974,21.78,42.66
14:02:58,975,21.78,42.67
14:03:02,976,21.78,42.67
14:03:05,977,21.78,42.7
14:03:08,978,21.78,42.74
14:03:13,979,21.8,42.7
14:03:14,980,21.79,42.62
14:03:17,981,21.79,42.65
14:03:20,982,21.79,42.57
14:03:23,983,21.8,42.6
14:03:26,984,21.8,42.54
14:03:29,985,21.82,42.52
14:03:32,986,21.83,42.52
14:03:35,987,21.8,42.49
14:03:38,988,21.79,42.48
14:03:41,989,21.8,42.4
14:03:44,990,21.82,42.37
14:03:47,991,21.82,42.37
14:03:50,992,21.82,42.39
14:03:53,993,21.8,42.39
14:03:56,994,21.82,42.39
14:04:00,995,21.82,42.44
14:04:02,996,21.83,42.39
14:04:05,997,21.85,42.34
14:04:09,998,21.85,42.35
14:04:11,999,21.83,42.41
14:04:15,1000,21.85,42.42
14:04:18,1001,21.85,42.46
14:04:21,1002,21.88,42.5
14:04:24,1003,21.83,42.46
14:04:27,1004,21.86,42.45
14:04:30,1005,21.88,42.46
14:04:33,1006,21.88,42.47
14:04:36,1007,21.88,42.58
14:04:39,1008,21.89,42.66
14:04:42,1009,21.88,42.75
14:04:45,1010,21.89,43.02
14:04:48,1011,21.9,43.12
14:04:51,1012,21.86,43.12
14:04:54,1013,21.89,43.17
14:04:57,1014,21.89,43.19
14:05:00,1015,21.89,43.24
14:05:04,1016,21.9,43.25
14:05:06,1017,21.89,43.28
14:05:10,1018,21.89,43.24
14:05:12,1019,21.92,43.33
14:05:15,1020,21.93,43.35
14:05:18,1021,21.9,43.46
14:05:22,1022,21.9,43.47
14:05:25,1023,21.94,43.63
14:05:28,1024,21.96,43.96
14:05:31,1025,21.96,44.05
14:05:34,1026,21.97,43.95
14:05:37,1027,21.96,43.91
14:05:40,1028,21.99,43.86
14:05:43,1029,21.99,43.85
14:05:46,1030,21.99,43.85
14:05:49,1031,22.0,43.85
14:05:52,1032,22.03,43.9
14:05:55,1033,22.02,43.85
14:05:58,1034,22.0,43.82
14:06:01,1035,22.03,43.89
14:06:04,1036,22.04,44.17
14:06:07,1037,22.02,44.25
14:06:10,1038,22.04,44.29
14:06:13,1039,22.04,44.33
14:06:16,1040,22.04,44.34
14:06:19,1041,22.06,44.43
14:06:22,1042,22.06,44.42
14:06:25,1043,22.07,44.48
14:06:28,1044,22.06,44.48
14:06:31,1045,22.07,44.52
14:06:35,1046,22.07,44.52
14:06:38,1047,22.1,44.47
14:06:41,1048,22.12,44.49
14:06:44,1049,22.09,44.44
14:06:47,1050,22.1,44.45
14:06:50,1051,22.09,44.46
14:06:53,1052,22.1,44.42
14:06:56,1053,22.09,44.5
14:06:59,1054,22.12,44.51
14:07:02,1055,22.1,44.52
14:07:05,1056,22.1,44.58
14:07:08,1057,22.09,44.56
14:07:11,1058,22.12,44.5
14:07:14,1059,22.12,44.5
14:07:17,1060,22.1,44.51
14:07:20,1061,22.12,44.6
14:07:23,1062,22.13,44.6
14:07:26,1063,22.12,44.65
14:07:29,1064,22.14,44.65
14:07:32,1065,22.13,44.65
14:07:36,1066,22.13,44.31
14:07:39,1067,22.12,44.2
14:07:41,1068,22.13,44.16
14:07:44,1069,22.14,44.09
14:07:47,1070,22.13,43.99
14:07:50,1071,22.14,43.89
14:07:54,1072,22.14,43.73
14:07:57,1073,22.13,43.44
14:08:00,1074,22.13,43.29
14:08:03,1075,22.14,43.23
14:08:06,1076,22.13,43.26
14:08:09,1077,22.14,43.22
14:08:12,1078,22.13,43.02
14:08:15,1079,22.14,42.85
14:08:18,1080,22.13,42.88
14:08:21,1081,22.16,42.84
14:08:24,1082,22.14,42.83
14:08:27,1083,22.13,42.77
14:08:30,1084,22.14,42.64
14:08:33,1085,22.16,42.56
14:08:36,1086,22.14,42.5
14:08:39,1087,22.18,42.46
14:08:43,1088,22.16,42.41
14:08:45,1089,22.14,42.36
14:08:48,1090,22.16,42.35
14:08:51,1091,22.16,42.29
14:08:55,1092,22.16,42.31
14:08:58,1093,22.16,42.28
14:09:01,1094,22.17,42.28
14:09:04,1095,22.14,42.3
14:09:07,1096,22.16,42.33
14:09:10,1097,22.16,42.35
14:09:13,1098,22.17,42.24
14:09:16,1099,22.18,42.23
14:09:19,1100,22.16,42.19
14:09:22,1101,22.14,42.12
14:09:25,1102,22.14,42.05
14:09:28,1103,22.16,42.02
14:09:31,1104,22.14,41.97
14:09:34,1105,22.14,41.92
14:09:37,1106,22.16,41.95
14:09:40,1107,22.14,41.93
14:09:43,1108,22.13,41.99
14:09:46,1109,22.14,42.01
14:09:49,1110,22.17,42.02
14:09:52,1111,22.16,42.07
14:09:56,1112,22.16,42.0
14:09:58,1113,22.17,42.03
14:10:02,1114,22.17,42.01
14:10:05,1115,22.16,42.0
14:10:07,1116,22.17,41.97
14:10:11,1117,22.18,41.97
14:10:14,1118,22.17,42.02
14:10:17,1119,22.17,42.06
14:10:20,1120,22.17,42.05
14:10:23,1121,22.17,42.02
14:10:26,1122,22.17,42.08
14:10:29,1123,22.17,42.05
14:10:33,1124,22.18,42.05
14:10:35,1125,22.18,42.06
14:10:38,1126,22.18,42.12
14:10:41,1127,22.2,42.06
14:10:44,1128,22.18,42.16
14:10:47,1129,22.18,42.1
14:10:50,1130,22.18,42.1
14:10:53,1131,22.18,42.09
14:10:56,1132,22.2,42.1
14:10:59,1133,22.21,42.13
14:11:02,1134,22.2,42.09
14:11:06,1135,22.2,42.17
14:11:09,1136,22.2,42.21
14:11:11,1137,22.18,42.3
14:11:15,1138,22.21,42.43
14:11:17,1139,22.21,42.47
14:11:21,1140,22.2,42.66
14:11:25,1141,22.21,42.67
14:11:27,1142,22.21,42.73
14:11:30,1143,22.21,42.8
14:11:33,1144,22.21,42.89
14:11:36,1145,22.2,42.88
14:11:39,1146,22.2,42.84
14:11:42,1147,22.2,42.83
14:11:45,1148,22.18,42.88
14:11:48,1149,22.21,42.89
14:11:51,1150,22.17,42.85
14:11:54,1151,22.18,42.88
14:11:57,1152,22.16,42.88
14:12:00,1153,22.17,42.95
14:12:04,1154,22.18,43.0
14:12:07,1155,22.17,43.04
14:12:09,1156,22.16,43.06
14:12:12,1157,22.17,42.99
14:12:15,1158,22.14,42.91
14:12:19,1159,22.16,42.8
14:12:21,1160,22.16,42.79
14:12:25,1161,22.14,42.7
14:12:28,1162,22.13,42.68
14:12:31,1163,22.14,42.66
14:12:34,1164,22.14,42.66
14:12:37,1165,22.13,42.63
14:12:40,1166,22.14,42.6
14:12:43,1167,22.12,42.58
14:12:46,1168,22.14,42.61
14:12:49,1169,22.13,42.62
14:12:52,1170,22.13,42.61
14:12:55,1171,22.12,42.7
14:12:59,1172,22.12,42.73
14:13:01,1173,22.13,42.84
14:13:04,1174,22.13,42.88
14:13:07,1175,22.14,42.92
14:13:10,1176,22.13,42.9
14:13:14,1177,22.13,42.86
14:13:17,1178,22.12,42.84
14:13:20,1179,26.1,51.11
14:13:23,1180,28.24,76.23
14:13:25,1181,29.97,87.56
14:13:28,1182,28.74,91.51
14:13:31,1183,27.63,93.18
14:13:35,1184,26.95,89.54
14:13:38,1185,26.28,79.17
14:13:41,1186,25.7,73.88
14:13:44,1187,25.15,70.65
14:13:47,1188,24.75,66.51
14:13:53,1189,24.38,62.81
14:14:00,1190,24.09,61.06
14:14:00,1191,23.84,58.83
14:14:00,1192,23.62,57.4
14:14:02,1193,23.48,56.0
14:14:05,1194,23.26,52.54
14:14:08,1195,23.09,51.23
14:14:11,1196,22.99,51.24
14:14:14,1197,22.91,50.74
14:14:18,1198,22.85,50.26
14:14:21,1199,22.79,49.48
14:14:23,1200,22.77,48.96
14:14:26,1201,22.72,48.53
14:14:29,1202,22.68,47.99
